MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
20,RL,4.2225280335569675,9.470317173335742,Pave,IR2,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,2,2,CBlock,3,3,-1,5,6.6039438246004725,1,0.0,5.170483995038151,6.816735880594968,GasA,2,Y,SBrkr,6.816735880594968,0.0,0.0,6.816735880594968,0.6931471805599453,0.0,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,2,1.6094379124341003,7,0.0,Detchd,1962.0,1,0.6931471805599453,5.8664680569332965,3,3,2,4.948759890378168,0.0,0.0,0.0,5.176149732573829,0.0,0.0,Sep,2008,WD,Normal
20,RL,4.5217885770490405,9.273596821611198,Pave,IR1,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,5.726847747587197,3,2,PConc,4,3,2,1,0.0,1,0.0,7.3098814858247865,7.3098814858247865,GasA,4,Y,SBrkr,7.3098814858247865,0.0,0.0,7.3098814858247865,0.0,0.0,1.0986122886681098,0.0,1.3862943611198906,0.6931471805599453,3,2.0794415416798357,7,0.6931471805599453,Attchd,2006.0,2,1.3862943611198906,6.734591659972948,3,3,2,5.081404364984463,3.5263605246161616,0.0,0.0,0.0,0.0,0.0,Aug,2007,New,Partial
20,RL,4.4271244869561865,9.298442820197728,Pave,IR1,Lvl,3,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.3612921657094255,2,2,CBlock,3,3,-1,4,6.598509028614515,1,0.0,6.255750041753367,7.134093721192866,GasA,2,Y,SBrkr,7.134093721192866,0.0,0.0,7.134093721192866,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,2,1.791759469228055,7,0.6931471805599453,Attchd,1960.0,2,0.6931471805599453,5.8664680569332965,3,3,2,0.0,5.365976015021851,5.176149732573829,0.0,0.0,0.0,0.0,May,2008,WD,Normal
45,RM,3.9512437185814275,8.71948076085107,Pave,Reg,Lvl,3,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,3,3,-1,1,0.0,1,0.0,6.725033642166843,6.725033642166843,GasA,4,Y,FuseA,6.75110146893676,0.0,0.0,6.75110146893676,0.0,0.0,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,2,1.791759469228055,7,0.0,Detchd,1991.0,1,1.0986122886681098,6.3578422665081,3,3,2,3.8918202981106265,4.727387818712341,0.0,0.0,0.0,0.0,0.0,Jul,2007,WD,Normal
20,RL,4.056561018093695,9.32741204356202,Pave,IR1,Lvl,3,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,5.198497031265826,2,2,CBlock,3,3,-1,5,6.361302477572996,1,0.0,6.056784013228625,6.912742820493176,GasA,4,Y,SBrkr,6.912742820493176,0.0,0.0,6.912742820493176,0.6931471805599453,0.0,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,2,1.791759469228055,7,0.6931471805599453,Attchd,1970.0,3,1.0986122886681098,6.175867270105761,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,6.55250788703459,Mar,2010,WD,Normal
90,RL,4.290459441148391,9.286560397887591,Pave,Reg,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,2,Y,SBrkr,7.167809184316444,0.0,0.0,7.167809184316444,0.0,0.0,1.0986122886681098,0.0,1.0986122886681098,1.0986122886681098,2,1.9459101490553132,7,0.0,CarPort,1967.0,1,1.0986122886681098,6.248042874508429,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,Oct,2006,WD,Normal
20,RL,4.204692619390966,9.524859098381523,Pave,Reg,Lvl,3,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,3,3,-1,6,6.472346294500901,1,0.0,6.150602768446279,7.016609683894219,GasA,4,Y,SBrkr,7.016609683894219,0.0,0.0,7.016609683894219,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.6931471805599453,3,1.9459101490553132,7,0.0,Detchd,2004.0,1,1.0986122886681098,6.3578422665081,3,3,2,0.0,4.634728988229636,0.0,0.0,0.0,0.0,0.0,Jun,2008,WD,Normal
20,RL,4.2626798770413155,8.93075873555827,Pave,Reg,Lvl,3,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,2,2,CBlock,3,3,-1,2,6.22455842927536,1,0.0,6.26530121273771,6.937314081223682,GasA,2,Y,SBrkr,7.200424892944957,0.0,0.0,7.200424892944957,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453,2,1.9459101490553132,6,0.0,Attchd,1958.0,1,0.6931471805599453,5.68697535633982,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,May,2009,COD,Abnorml
60,RL,4.624972813284271,9.562123369834488,Pave,IR1,Lvl,3,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.942799375126701,3,2,PConc,5,3,2,1,0.0,1,0.0,7.055312843339752,7.055312843339752,GasA,4,Y,SBrkr,7.055312843339752,7.105786129481271,0.0,7.773594467360194,0.0,0.0,1.3862943611198906,0.6931471805599453,1.6094379124341003,0.6931471805599453,3,2.302585092994046,7,0.6931471805599453,BuiltIn,2005.0,2,1.3862943611198906,6.74993119378857,3,3,2,5.484796933490655,5.043425116919247,0.0,0.0,0.0,0.0,0.0,Nov,2006,New,Partial
45,RM,4.060443010546419,8.915969311373605,Pave,Reg,Bnk,3,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,3,3,-1,1,0.0,1,0.0,6.45833828334479,6.45833828334479,GasA,4,Y,FuseF,7.011213987350367,0.0,0.0,7.011213987350367,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453,3,1.9459101490553132,7,0.6931471805599453,Attchd,1930.0,1,0.6931471805599453,5.638354669333745,3,3,0,0.0,0.0,5.327876168789581,0.0,0.0,0.0,0.0,Jun,2007,WD,Normal
20,RL,4.330733340286331,9.184304357425342,Pave,Reg,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,5.641907070938114,3,2,PConc,4,3,-1,1,0.0,1,0.0,7.48324441607385,7.48324441607385,GasA,4,Y,SBrkr,7.493317248862145,0.0,0.0,7.493317248862145,0.0,0.0,1.0986122886681098,0.0,1.3862943611198906,0.6931471805599453,3,2.0794415416798357,7,0.6931471805599453,Attchd,2002.0,2,1.0986122886681098,6.282266746896006,3,3,2,5.147494476813453,5.075173815233827,0.0,0.0,0.0,0.0,0.0,Sep,2008,WD,Normal
120,RM,3.8066624897703196,8.348774539791274,Pave,Reg,Lvl,3,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,2,PConc,4,3,-1,6,6.734591659972948,1,0.0,5.303304908059076,6.947937068614969,GasA,2,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,0.6931471805599453,0.0,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453,2,1.9459101490553132,7,0.6931471805599453,Attchd,1976.0,1,1.0986122886681098,6.35088571671474,3,3,2,4.61512051684126,4.709530201312334,0.0,0.0,0.0,0.0,0.0,Jun,2007,WD,Normal
20,RL,4.2225280335569675,9.017604776833355,Pave,IR1,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,2,3,CBlock,3,3,1,3,5.241747015059643,5,6.505784060128229,5.3230099791384085,6.966967138613983,GasA,4,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,0.6931471805599453,0.0,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453,3,1.9459101490553132,7,0.6931471805599453,Attchd,1968.0,1,0.6931471805599453,5.602118820879701,3,3,2,6.008813185442595,4.51085950651685,0.0,0.0,0.0,0.0,0.0,May,2010,WD,Normal
20,RL,4.709530201312334,9.56317796268366,Pave,Reg,Lvl,3,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,6.46302945692067,3,2,PConc,4,3,-1,1,0.0,1,0.0,7.356918242356021,7.356918242356021,GasA,4,Y,SBrkr,7.3783837129967145,0.0,0.0,7.3783837129967145,0.0,0.0,1.0986122886681098,0.0,1.3862943611198906,0.6931471805599453,3,2.0794415416798357,7,0.6931471805599453,Attchd,2007.0,2,1.3862943611198906,6.792344427470809,3,3,2,0.0,4.04305126783455,0.0,0.0,0.0,0.0,0.0,Jul,2009,WD,Normal
20,RL,4.110873864173311,8.881975184248867,Pave,Reg,Lvl,3,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,4,5.459585514144159,3,6.18826412308259,5.198497031265826,6.803505257608338,GasA,2,Y,SBrkr,6.803505257608338,0.0,0.0,6.803505257608338,0.0,0.6931471805599453,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453,3,1.791759469228055,7,0.0,Detchd,2005.0,1,1.0986122886681098,6.3578422665081,3,3,2,5.407171771460119,3.4965075614664802,0.0,0.0,0.0,0.0,0.0,May,2010,WD,Normal
20,RL,4.59511985013459,9.348274558065496,Pave,Reg,Lvl,3,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,5.303304908059076,3,2,PConc,5,3,-1,6,7.105786129481271,1,0.0,6.18826412308259,7.4413203897176174,GasA,4,Y,SBrkr,7.4413203897176174,0.0,0.0,7.4413203897176174,0.6931471805599453,0.0,1.0986122886681098,0.0,1.3862943611198906,0.6931471805599453,3,2.0794415416798357,7,0.6931471805599453,Attchd,2008.0,2,1.3862943611198906,6.650279048587422,3,3,2,0.0,3.9318256327243257,0.0,0.0,0.0,0.0,0.0,May,2010,WD,Normal
20,RL,3.871201010907891,9.700269170029188,Pave,IR1,Lvl,3,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,3,3,3,4,7.15305163493748,1,0.0,5.337538079701318,7.3031700512368,GasA,2,Y,SBrkr,7.3783837129967145,0.0,0.0,7.3783837129967145,0.6931471805599453,0.0,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,2,1.9459101490553132,7,1.0986122886681098,Attchd,1957.0,2,0.6931471805599453,5.768320995793772,3,3,2,5.666426688112432,5.556828061699537,0.0,0.0,0.0,0.0,0.0,Dec,2006,WD,Normal
30,RM,4.110873864173311,8.752265313595721,Pave,IR1,Lvl,3,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3,3,-1,1,0.0,1,0.0,6.255750041753367,6.255750041753367,GasA,1,N,SBrkr,6.255750041753367,0.0,0.0,6.255750041753367,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1,1.6094379124341003,7,0.0,Detchd,1920.0,1,0.6931471805599453,5.484796933490655,2,3,2,3.912023005428146,0.0,4.477336814478207,0.0,0.0,0.0,0.0,May,2008,WD,Normal
70,C (all),3.9318256327243257,9.04793908261736,Pave,Reg,Lvl,3,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,2,1,BrkTil,3,3,-1,1,0.0,1,0.0,6.476972362889683,6.476972362889683,GasA,2,N,SBrkr,6.476972362889683,6.505784060128229,0.0,7.183870715062453,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453,2,1.9459101490553132,7,0.0,Detchd,1920.0,1,0.6931471805599453,5.5254529391317835,3,2,0,0.0,4.007333185232471,5.153291594497779,0.0,0.0,0.0,0.0,Jul,2008,WD,Normal
20,RL,4.056561018093695,9.053101595549691,Pave,IR1,Lvl,3,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,-1,1,0.0,1,0.0,7.113956109566034,7.113956109566034,GasA,3,Y,SBrkr,7.113956109566034,0.0,0.0,7.113956109566034,0.0,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.6931471805599453,3,1.9459101490553132,7,0.0,Attchd,1966.0,1,0.6931471805599453,5.605802066295998,3,3,2,0.0,4.189654742026425,0.0,0.0,0.0,0.0,0.0,Jun,2008,WD,Normal
20,RL,4.454347296253507,9.3101857069459,Pave,Reg,Lvl,3,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5,3,2,1,0.0,1,0.0,7.118826249062078,7.118826249062078,GasA,4,Y,SBrkr,7.118826249062078,0.0,0.0,7.118826249062078,0.0,0.0,1.0986122886681098,0.0,1.3862943611198906,0.6931471805599453,3,2.0794415416798357,7,0.0,Attchd,2007.0,2,1.0986122886681098,6.184148890937483,3,3,2,0.0,3.4339872044851463,0.0,0.0,0.0,0.0,0.0,Jan,2008,WD,Normal
20,RL,4.2626798770413155,9.26416545867109,Pave,IR1,Lvl,3,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,2,2,CBlock,3,3,-1,3,6.926577033222725,1,0.0,5.942799375126701,7.243512974665482,GasA,3,Y,SBrkr,7.438971592395862,0.0,0.0,7.438971592395862,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.6094379124341003,0.6931471805599453,3,1.9459101490553132,7,0.6931471805599453,Attchd,1959.0,2,1.0986122886681098,6.104793232414985,3,3,2,0.0,3.6635616461296463,0.0,0.0,0.0,0.0,0.0,Apr,2010,WD,Normal
120,RL,4.110873864173311,8.897545598709327,Pave,Reg,Lvl,3,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.5093883366279774,4,2,PConc,5,3,-1,6,7.050989447068045,1,0.0,6.013715156042802,7.3537223303996315,GasA,4,Y,SBrkr,7.3537223303996315,0.0,0.0,7.3537223303996315,0.6931471805599453,0.0,1.0986122886681098,0.0,1.0986122886681098,0.6931471805599453,4,1.9459101490553132,7,0.6931471805599453,Attchd,2005.0,3,1.0986122886681098,6.322565239927284,3,3,2,5.318119993844216,3.871201010907891,0.0,0.0,0.0,0.0,0.0,Aug,2007,WD,Normal
60,RL,4.6913478822291435,9.504426892100957,Pave,Reg,Lvl,3,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,4.890349128221754,3,2,PConc,5,3,2,1,0.0,1,0.0,7.0192966537150445,7.0192966537150445,GasA,4,Y,SBrkr,7.0326242610280065,7.186144304522325,0.0,7.8050670442584895,0.0,0.0,1.3862943611198906,0.6931471805599453,1.6094379124341003,0.6931471805599453,3,2.302585092994046,7,0.6931471805599453,BuiltIn,2004.0,3,1.3862943611198906,6.539585955617669,3,3,2,4.736198448394496,3.4965075614664802,0.0,0.0,0.0,0.0,0.0,Sep,2006,WD,Normal
20,RL,4.727387818712341,9.292841593487926,Pave,Reg,Lvl,3,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,-1,1,0.0,1,0.0,7.001245622069476,7.001245622069476,GasA,4,Y,SBrkr,7.001245622069476,0.0,0.0,7.001245622069476,0.0,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.6931471805599453,2,1.9459101490553132,7,0.0,Attchd,1995.0,1,1.0986122886681098,6.511745329644728,3,3,2,5.973809611869261,4.174387269895637,0.0,0.0,0.0,0.0,0.0,Jun,2009,WD,Normal
